Period,Visitors
01-Jul-10,5680
01-Aug-10,5720
01-Sep-10,5180
01-Oct-10,5540
01-Nov-10,5490
01-Dec-10,5040
01-Jan-11,5440
01-Feb-11,5470
01-Mar-11,5530
01-Apr-11,5640
01-May-11,6170
01-Jun-11,5510
01-Jul-11,5570
01-Aug-11,5680
01-Sep-11,5640
01-Oct-11,5680
01-Nov-11,5540
01-Dec-11,5630
01-Jan-12,5360
01-Feb-12,5550
01-Mar-12,5680
01-Apr-12,5590
01-May-12,5330
01-Jun-12,5850
01-Jul-12,5440
01-Aug-12,5270
01-Sep-12,5720
01-Oct-12,5660
01-Nov-12,5630
01-Dec-12,5580
01-Jan-13,5820
01-Feb-13,5770
01-Mar-13,5560
01-Apr-13,5740
01-May-13,5740
01-Jun-13,5720
01-Jul-13,5820
01-Aug-13,5810
01-Sep-13,5720
01-Oct-13,5470
01-Nov-13,5950
01-Dec-13,5850
01-Jan-14,5940
01-Feb-14,5910
01-Mar-14,5580
01-Apr-14,5790
01-May-14,6350
01-Jun-14,5950
01-Jul-14,6040
01-Aug-14,6070
01-Sep-14,5990
01-Oct-14,6120
01-Nov-14,6330
01-Dec-14,6170
01-Jan-15,6200
01-Feb-15,6090
01-Mar-15,6460
01-Apr-15,6330
01-May-15,6570
01-Jun-15,6390
01-Jul-15,6800
01-Aug-15,6520
01-Sep-15,6450
01-Oct-15,6500
01-Nov-15,6640
01-Dec-15,6770
01-Jan-16,6350
01-Feb-16,6760
01-Mar-16,6770
01-Apr-16,6670
01-May-16,6880
01-Jun-16,6690
01-Jul-16,6750
01-Aug-16,6960
01-Sep-16,7050
01-Oct-16,6870
01-Nov-16,6870
01-Dec-16,6830
01-Jan-17,6990
01-Feb-17,7090
01-Mar-17,7250
01-Apr-17,7280
01-May-17,7050
01-Jun-17,7770
01-Jul-17,7200
01-Aug-17,7210
01-Sep-17,7420
01-Oct-17,7380
01-Nov-17,7350
01-Dec-17,7260
01-Jan-18,7450
01-Feb-18,7250
01-Mar-18,7600
01-Apr-18,7650
01-May-18,7520
01-Jun-18,7690
01-Jul-18,7670
01-Aug-18,7790
01-Sep-18,7430
01-Oct-18,7720
01-Nov-18,7540
01-Dec-18,7330
01-Jan-19,7830
01-Feb-19,7680
01-Mar-19,8300
01-Apr-19,8010
01-May-19,8120
01-Jun-19,7760
01-Jul-19,7690
01-Aug-19,7780
01-Sep-19,7620
01-Oct-19,7520
01-Nov-19,7440
01-Dec-19,7370
